patron,drink,executionTime,queueLevel,arrivalTime,serviceStartTime,completionTime,waitingTime,turnaroundTime,responseTime
6,B52,200,0,1779016484082,1779016484166,1779016484371,84,289,84
3,Bloody Mary,70,0,1779016484312,1779016484378,1779016484451,66,139,66
7,Mojito,75,0,1779016484192,1779016484458,1779016484538,266,346,266
3,Tequila shot,20,0,1779016484606,1779016484606,1779016484631,0,25,0
3,Cosmopolitan,65,0,1779016484635,1779016484638,1779016484708,3,73,3
7,B52,200,0,1779016484652,1779016484715,1779016484920,63,268,63
7,Beer,25,0,1779016484932,1779016484932,1779016484961,0,29,0
8,Vodka shot,20,0,1779016485024,1779016485024,1779016485045,0,21,0
8,Vodka shot,20,0,1779016485049,1779016485053,1779016485076,4,27,4
7,Martini,60,0,1779016485066,1779016485083,1779016485145,17,79,17
8,Pina Colada,100,0,1779016485080,1779016485153,1779016485256,73,176,73
7,Pina Colada,100,0,1779016485259,1779016485263,1779016485366,4,107,4
9,B52,200,0,1779016485310,1779016485373,1779016485577,63,267,63
8,Vodka shot,20,0,1779016485382,1779016485585,1779016485610,203,228,203
8,Mojito,75,0,1779016485614,1779016485617,1779016485697,3,83,3
9,Pina Colada,100,0,1779016485589,1779016485703,1779016485808,114,219,114
9,Beer,25,0,1779016485931,1779016485931,1779016485960,0,29,0
9,Gin and Tonic,40,0,1779016486062,1779016486062,1779016486107,0,45,0
9,Pina Colada,100,0,1779016486222,1779016486223,1779016486326,1,104,1
0,Red Wine,25,0,1779016507959,1779016507959,1779016507990,0,31,0
0,Vodka shot,20,0,1779016508141,1779016508141,1779016508165,0,24,0
1,Bloody Mary,70,0,1779016508170,1779016508173,1779016508248,3,78,3
0,Pina Colada,100,0,1779016508169,1779016508260,1779016508365,91,196,91
1,B52,200,0,1779016508405,1779016508405,1779016508610,0,205,0
1,Mojito,75,0,1779016508623,1779016508623,1779016508703,0,80,0
1,Martini,60,0,1779016508819,1779016508819,1779016508884,0,65,0
2,Gin and Tonic,40,0,1779016508918,1779016508918,1779016508959,0,41,0
1,Pina Colada,100,0,1779016508998,1779016508998,1779016509104,0,106,0
3,Pina Colada,100,0,1779016509206,1779016509206,1779016509311,0,105,0
1,Margarita,75,0,1779016509225,1779016509319,1779016509395,94,170,94
4,Vodka shot,20,0,1779016509361,1779016509401,1779016509423,40,62,40
4,Vodka shot,20,0,1779016509427,1779016509431,1779016509456,4,29,4
4,White Wine,25,0,1779016509460,1779016509463,1779016509492,3,32,3
3,Pina Colada,100,0,1779016509436,1779016509499,1779016509605,63,169,63
5,Martini,60,0,1779016509545,1779016509612,1779016509675,67,130,67
4,Martini,60,0,1779016509646,1779016509683,1779016509748,37,102,37
6,Margarita,75,0,1779016509586,1779016509755,1779016509835,169,249,169
5,Cosmopolitan,65,0,1779016509791,1779016509842,1779016509910,51,119,51
3,B52,200,0,1779016509731,1779016509918,1779016510119,187,388,187
6,Vodka shot,20,0,1779016509920,1779016510126,1779016510150,206,230,206
